
 MIDACO 6.0    (www.midaco-solver.com)
 -------------------------------------

 LICENSE-KEY:  MIDACO_LIMITED_VERSION___[CREATIVE_COMMONS_BY-NC-ND_LICENSE]

 ----------------------------------------
 | OBJECTIVES    2 | PARALLEL         1 |
 |--------------------------------------|
 | N             4 | MAXEVAL    1000000 |
 | NI            0 | MAXTIME     172800 |
 | M             0 | PRINTEVAL     1000 |
 | ME            0 | SAVE2FILE        1 |
 |--------------------------------------|
 | PARAM(10)  0.1000000E+04 PARETOMAX   |
 | PARAM(12)  0.1000000E+01 BALANCE     |
 ----------------------------------------


 [     EVAL,    TIME]   MULTI-OBJECTIVE PROGRESS   VIOLATION OF G(X)
 -------------------------------------------------------------------   [PARETO]
 [   269000, 4537.94]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   270000, 4556.18]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   271000, 4574.37]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   272000, 4592.58]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   273000, 4610.78]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   274000, 4629.02]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   275000, 4647.24]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   276000, 4665.42]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   277000, 4683.65]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   278000, 4700.48]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   279000, 4717.44]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   280000, 4734.29]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   281000, 4751.12]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   282000, 4767.95]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   283000, 4784.79]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   284000, 4801.61]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   285000, 4818.45]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   286000, 4835.28]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   287000, 4852.13]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   288000, 4869.00]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   289000, 4885.85]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   290000, 4902.68]   PRO:          0.26590103   VIO:     0.000000   [    49]
 [   291000, 4919.53]   PRO:          0.26590103   VIO:     0.000000   [    49]
